-2.93037	7.8209
-2.69164	7.19403
-2.44297	7.46269
-2.21419	8.20896
-1.98541	8.20896
-1.75663	7.04478
-1.687	7.49254
-1.5179	6.47761
-1.39854	8.14925
-1.28912	7.43284
-1.07029	7.91045
-0.90119	7.43284
-0.85146	8.47761
-0.96088	9.8209
-0.75199	8.50746
-0.64257	9.04478
-0.43369	9.01493
-0.53316	11.28358
-0.48342	10.80597
-0.33422	9.73134
-0.28448	10.20896
-0.23475	10.77612
-0.19496	10.95522
-0.28448	12.56716
-0.37401	13.8806
-0.19496	15.01493
-0.04576	16.0597
-0.0756	13.49254
-0.11538	12.1194
-0.14523	11.73134
0.03382	14.53731
-0.00597	14.68657
-0.01592	14.47761
-0.00597	13.22388
0.19297	12.56716
0.10345	11.55224
0.28249	9.49254
0.38196	6.53731
0.47149	7.61194
0.68037	8.53731
0.5809	7.25373
0.78979	7.01493
0.88926	6.26866
1.00862	7.22388
1.11804	6.44776
1.22745	6.59701
1.32692	5.79104
1.46618	5.70149
1.56565	6.41791
1.69496	6.41791
1.80438	7.10448
1.91379	6.68657
2.0431	6.14925
2.15252	7.49254
2.26194	7.10448
2.39125	7.31343
2.51061	6.23881
2.62997	7.49254
2.74934	7.13433
2.87865	6.86567
2.99801	7.49254
3.11737	5.91045
3.22679	7.64179
3.34615	6.35821
3.47546	6.20896
3.60477	6.62687
3.72414	8.0597
3.8435	7.10448
3.96286	7.46269
4.09218	8.23881
4.21154	7.31343
4.45027	6.98507
